@relation training_data

@attribute 'Total Games' numeric
@attribute Wins numeric
@attribute Losses numeric
@attribute 'Winning Pct' numeric
@attribute Possessions numeric
@attribute 'Possessions Per 40 minutes' numeric
@attribute 'Floor Pct' numeric
@attribute Efficiency numeric
@attribute 'Field Goals Made' numeric
@attribute 'Field Goal Attempts' numeric
@attribute 'Field Goal Pct' numeric
@attribute 'Free Throws Made' numeric
@attribute 'Free Throw Attempts' numeric
@attribute 'Free Throw Pct' numeric
@attribute '3-pt Field Goals Made' numeric
@attribute '3-pt Field Goal Attempts' numeric
@attribute '3-pt Field Goal Pct' numeric
@attribute 'Effective Field Goal Pct' numeric
@attribute 'True Shooting Pct' numeric
@attribute 'Free Throw Rate' numeric
@attribute 'Field Goal Point Pct' numeric
@attribute 'Free Throw Point Pct' numeric
@attribute '3-pt Field Goal Point Pct' numeric
@attribute 'Points Per Possessions' numeric
@attribute Points numeric
@attribute 'Points Per Game' numeric
@attribute 'Rebound Pct' numeric
@attribute 'Total Rebounds' numeric
@attribute 'Total Rebounds Per Game' numeric
@attribute 'Offensive Reb Pct' numeric
@attribute 'Offensive Rebounds' numeric
@attribute 'Offensive Rebounds Per Game' numeric
@attribute 'Defensive Reb Pct' numeric
@attribute 'Defensive Rebounds' numeric
@attribute 'Defensive Rebounds Per Game' numeric
@attribute 'Team Rebounds' numeric
@attribute 'Team Rebounds Per Game' numeric
@attribute 'Assist Pct' numeric
@attribute Assists numeric
@attribute 'Assists Per Game' numeric
@attribute 'Assist to Turnover' numeric
@attribute 'Steal Pct' numeric
@attribute Steals numeric
@attribute 'Steals Per Game' numeric
@attribute 'Turnover Pct' numeric
@attribute Turnovers numeric
@attribute 'Turnovers Per Game' numeric
@attribute 'Block Pct' numeric
@attribute Blocks numeric
@attribute 'Blocks Per Game' numeric
@attribute Fouls numeric
@attribute 'Fouls Per Game' numeric
@attribute Disqualifications numeric
@attribute Outcome {L,W}

@data
-2,9,-11,36.9,12,2.9,13.7,17.8,149,249,2.2,57,126,-4.7,-12,-28,-0.3,0.6,-0.2,1.8,7.8,-0.5,-7.3,0.18,343,17.5,6.1,230,10.5,13.3,165,6.7,-1,65,4,-21,-0.6,-1.4,70,3.4,0.67,5.2,97,4,-7.5,-135,-4,5.3,76,2.9,-22,0.6,-3,W
0,6,-6,20.7,-52,0.5,-5.8,-1.3,-13,-166,4,-78,-161,5,27,9,3.9,5.8,5.3,-6.2,-2.3,-3.2,5.6,-0.02,-77,-2.6,-5.5,-242,-8.3,-10.1,-152,-5.3,-0.9,-90,-3.1,-18,-0.6,7.3,40,1.4,-0.01,1,15,0.6,3.3,50,1.8,-2,-37,-1.2,-5,-0.2,-11,L
1,-3,4,-12.4,29,1.1,-4.6,-3.9,-9,-88,2.1,-77,-84,-2.9,54,113,2.4,4.4,2.9,-3.4,-5.6,-3.6,9.2,-0.04,-41,-3.8,-5.6,-134,-5.7,-7.2,-81,-3.2,-4.1,-53,-2.7,-22,-0.9,6.5,37,0.9,-0.08,-0.8,-12,-0.6,3.8,74,2.2,-3.3,-50,-1.8,64,1.6,7,L
5,0,5,-10,280,0.7,-5.9,-2.6,108,161,2.8,-71,-117,1.7,98,224,3.7,5.7,4,-14.6,-5.2,-7.4,12.6,-0.03,243,-3.3,-7.4,-41,-7.4,-10.9,-79,-4.8,-4,38,-2.7,-8,-0.8,0.9,64,0.2,-0.06,-0.7,13,-0.6,2.3,97,1.1,-4.4,-45,-2.3,89,-0.3,7,L
-3,-2,-1,-2.1,-113,0.7,5.5,0.2,-29,94,-4.8,27,38,0,-81,-149,-5.5,-8.1,-6.8,0.1,8.6,2.8,-11.5,0.01,-112,3.1,4.8,151,8.9,9.6,120,5.5,0.1,31,3.6,46,2,-1.6,-26,0.3,0.22,-0.9,-25,-0.4,-4.8,-107,-2.5,2.6,40,1.7,-144,-3.3,-7,W
1,-3,4,-12.4,29,1.1,-4.6,-3.9,-9,-88,2.1,-77,-84,-2.9,54,113,2.4,4.4,2.9,-3.4,-5.6,-3.6,9.2,-0.04,-41,-3.8,-5.6,-134,-5.7,-7.2,-81,-3.2,-4.1,-53,-2.7,-22,-0.9,6.5,37,0.9,-0.08,-0.8,-12,-0.6,3.8,74,2.2,-3.3,-50,-1.8,64,1.6,7,W
-2,-5,3,-15,68,4.9,3.6,-2.2,74,225,-1.8,-40,-63,0.8,-82,-169,-4.3,-5.4,-5.3,-9.3,15.8,-2.4,-13.4,-0.02,26,5.7,0.7,127,6.7,5.4,86,3.7,-3.9,41,3.1,34,1.4,-5.5,1,0.9,0.08,1.1,27,1.4,-2.6,-34,-0.2,3.9,71,2.7,-66,-1,-1,W
0,-10,10,-34.5,161,3.2,4.7,-0.8,69,331,-4.8,47,77,-1.2,-38,-35,-4.3,-7.4,-6.7,-3,7.4,0.9,-8.3,0,147,5.1,3.3,199,6.8,8.1,152,5.3,-1.4,47,1.7,37,1.3,-2.2,22,0.7,0.22,-1,-6,-0.3,-4.9,-62,-2.2,0,6,0.2,13,0.4,2,L
1,2,-1,5.4,50,1.8,-3.1,3.1,38,-82,5.1,-47,-70,0.4,77,126,6.2,8.2,6.7,-2.6,-7,-3.9,10.9,0.03,106,1.5,-3.2,-157,-6.6,-6.5,-94,-3.6,0.1,-63,-3,-21,-0.8,8.1,69,2.1,0,-1.2,-17,-0.8,3.8,79,2.3,-4.4,-68,-2.5,56,1.3,5,W
-1,1,-2,5.3,96,3.4,6.7,6,99,256,-1.1,81,64,6,-65,-128,-3.6,-4.3,-2.9,-2.1,11.2,1.8,-13.1,0.06,214,9.9,5.6,175,7.2,8.2,109,4.2,3.1,66,3.1,30,1.2,-3.7,27,1.4,0.32,-1,-12,-0.3,-5.7,-89,-2.7,1.4,27,1,-19,0,-1,W
-2,0,-2,3.6,-114,-1.8,4.2,0,-35,-15,-2,57,48,4,-103,-254,-2.3,-5.7,-3.8,3.9,10.6,4.6,-15.2,0,-116,0.5,5.2,135,7,7.7,72,3.2,2.7,63,3.9,35,1.5,-3.9,-43,-0.7,0.03,-0.3,-15,-0.2,-2.1,-61,-1.2,1.8,28,1.1,-89,-1.9,3,W
-5,-5,0,-10.8,-299,-1.5,6.3,2.1,-57,-85,-1.4,-68,-77,-3.1,-89,-225,-1.3,-4.3,-4.3,-3.4,11.3,-0.8,-10.5,0.02,-271,2.2,7.4,19,6.5,9.3,67,4.3,5.6,-48,2.3,-23,-0.5,-2.7,-47,0.5,0.15,0.3,-22,0.2,-2.8,-109,-1.6,3,23,1.3,-85,0.5,-10,L
3,9,-6,29.1,-92,-8.6,-1.7,3.8,-57,-147,0.6,38,26,3.9,57,123,2.3,3.3,3.8,5.4,-11.6,2.2,9.4,0.03,-19,-8.2,1.3,-70,-5.8,-0.6,-32,-2.1,3.2,-38,-3.9,-32,-1.5,0.4,-28,-2.4,-0.13,-1.1,-29,-1.7,2.3,24,-0.7,0.3,-2,-0.3,17,-1.6,-3,W
1,-6,7,-23.1,-42,-1.5,-7.7,-6.4,-86,-181,-0.2,-65,-80,-1.4,74,184,1.2,3.1,2.3,-0.6,-12.2,-1.6,13.8,-0.07,-163,-8.1,-8.5,-252,-10,-10.3,-120,-4.6,-6.8,-132,-5.5,-22,-0.9,3.7,-20,-1.1,-0.2,-0.1,-6,-0.4,3.6,57,1.6,-1.5,-22,-0.8,32,0.5,1,L
-2,-8,6,-26.1,-120,-2,-1.7,-11.2,-108,25,-8.4,-56,-77,-0.5,-43,-33,-5.3,-10.1,-9.2,-6.1,0.4,0.5,-0.9,-0.11,-315,-6.9,3.9,151,7.6,3.2,60,2.8,4.6,91,4.9,39,1.6,-5.7,-89,-2.4,-0.1,-2.3,-50,-1.5,-2.2,-64,-1.3,2.7,37,1.5,-51,-0.5,6,L
2,5,-3,15,105,1.5,0.9,7.6,92,-5,6.7,11,19,-0.4,44,46,4.7,8.4,7.1,1.5,-0.4,-2.3,2.7,0.07,239,4.1,-0.2,-53,-4,-4,-56,-2.6,3.5,3,-1.4,17,0.4,-3.2,33,0.4,-0.02,-0.4,2,-0.3,1.4,47,0.7,-0.7,-12,-0.6,58,0.7,0,W
-1,-5,4,-16.2,123,4.4,1.6,-7.2,-3,177,-5.3,55,123,-4.7,-66,-80,-6.8,-8.4,-7.6,3.5,7.1,3.2,-10.3,-0.07,-17,1.7,3.2,161,6.7,6.2,120,4.6,0.3,41,2.2,40,1.5,-1.9,-14,-0.1,-0.05,2.9,68,2.6,-1,9,0.8,1.8,24,0.9,105,4.4,2,W
1,-5,6,-19.6,40,-0.9,-7,-8.3,-35,-38,-1.2,-107,-122,-3.2,68,203,-1.9,1.3,0,-7.5,-8,-4.3,12.3,-0.09,-109,-6.2,-6.8,-178,-7.3,-8.5,-72,-2.9,-5.1,-106,-4.6,-13,-0.6,0.3,-17,-1,-0.24,-2.2,-36,-1.4,3.6,73,2.1,-4.9,-70,-2.5,48,1,1,L
