Total Games,Winning Pct,Possessions,Possessions Per 40 minutes,Floor Pct,Efficiency,Field Goal Attempts,Field Goal Pct,Free Throw Attempts,Free Throw Pct,3-pt Field Goal Attempts,3-pt Field Goal Pct,Effective Field Goal Pct,True Shooting Pct,Free Throw Rate,Field Goal Point Pct,Free Throw Point Pct,3-pt Field Goal Point Pct,Points Per Possessions,Points,Points Per Game,Rebound Pct,Total Rebounds,Total Rebounds Per Game,Offensive Reb Pct,Offensive Rebounds,Offensive Rebounds Per Game,Defensive Reb Pct,Defensive Rebounds,Defensive Rebounds Per Game,Team Rebounds,Team Rebounds Per Game,Assist Pct,Assists,Assists Per Game,Assist to Turnover,Steal Pct,Steals,Steals Per Game,Turnover Pct,Turnovers,Turnovers Per Game,Block Pct,Blocks,Blocks Per Game,Fouls,Fouls Per Game,Disqualifications,Outcome
1.0,14.4,-37.0,-2.9,-0.8,2.3,-272.0,4.0,154.0,6.2,-129.0,-1.2,3.4,4.7,11.3,0.9,5.4,-6.2,0.02,20.0,-1.5,0.7,63.0,0.7,-1.1,-89.0,-2.8,2.4,152.0,3.4,-37.0,-1.1,-1.8,-41.0,-1.6,-0.28,-1.5,-43.0,-1.4,3.2,75.0,1.7,5.9,130.0,3.4,81.0,1.8,5.0,W
-3.0,-4.5,-39.0,4.4,-1.0,-4.7,-17.0,-3.4,27.0,0.0,31.0,-3.4,-3.6,-3.1,1.4,-1.8,1.6,0.1,-0.05,-162.0,1.7,-0.7,-122.0,-0.4,3.9,76.0,3.0,-5.3,-198.0,-3.5,-31.0,-0.6,-0.1,-44.0,0.0,-0.3,7.5,183.0,5.6,2.3,52.0,2.3,1.1,1.0,0.2,212.0,7.0,2.0,L
-3.0,-16.6,-162.0,0.8,1.2,-5.6,-172.0,-3.5,141.0,0.8,-248.0,-4.1,-5.9,-4.2,10.6,4.0,6.4,-10.5,-0.05,-305.0,-2.7,2.3,11.0,3.4,9.4,107.0,4.1,-4.8,-96.0,-0.7,4.0,0.4,5.4,-37.0,0.2,-0.22,0.3,-12.0,0.2,3.8,53.0,2.5,4.0,67.0,2.3,87.0,3.8,-2.0,L
-3.0,-2.7,-326.0,-3.4,-0.1,-0.1,-196.0,-2.4,-39.0,0.8,-104.0,-1.5,-3.0,-2.4,1.6,0.0,1.8,-1.8,0.0,-340.0,-3.6,2.3,-90.0,0.6,0.1,-36.0,0.0,4.4,-54.0,0.6,-5.0,0.1,-2.9,-98.0,-1.6,0.08,-2.4,-96.0,-2.0,-2.8,-134.0,-2.6,1.6,16.0,0.8,-152.0,-2.9,-11.0,L
2.0,10.0,134.0,0.0,4.5,9.6,-15.0,5.4,197.0,2.0,-103.0,7.5,5.8,6.1,10.3,-0.5,2.9,-2.5,0.09,375.0,6.4,4.2,216.0,4.1,8.2,57.0,1.0,0.1,159.0,3.1,3.0,-0.1,-4.4,17.0,-0.3,-0.26,-1.1,-11.0,-0.8,3.3,102.0,2.2,-0.5,4.0,-0.1,40.0,0.2,0.0,W
-7.0,-11.4,-422.0,1.1,-4.1,-6.6,-418.0,0.5,-258.0,4.0,-253.0,-3.3,-1.0,-0.8,-5.6,8.0,-1.4,-6.7,-0.06,-598.0,-3.2,-1.3,-306.0,-1.2,-6.2,-198.0,-3.1,3.7,-108.0,1.9,-61.0,-1.1,0.4,-94.0,0.1,-0.02,-5.0,-168.0,-3.2,0.0,-78.0,0.2,-3.5,-94.0,-1.5,-88.0,0.7,-3.0,L
1.0,0.7,95.0,0.8,-0.8,0.5,87.0,-0.7,-11.0,-3.4,191.0,5.1,1.6,0.5,-2.4,-7.9,-2.3,10.2,0.0,113.0,1.2,2.4,80.0,1.3,-2.0,2.0,-0.3,6.8,78.0,1.5,-17.0,-0.5,-3.9,-18.0,-0.9,-0.05,-1.5,-25.0,-0.9,-0.7,4.0,-0.2,-1.5,-29.0,-0.9,54.0,1.0,11.0,L
0.0,-16.7,54.0,1.5,-2.2,-4.3,116.0,-4.3,-34.0,4.2,172.0,-4.1,-4.0,-3.2,-3.6,-4.2,0.5,3.7,-0.05,-44.0,-1.2,-1.5,-72.0,-2.0,1.8,58.0,1.6,-4.8,-130.0,-3.6,9.0,0.3,-3.1,-43.0,-1.2,-0.17,0.7,22.0,0.6,0.7,26.0,0.7,-0.6,-17.0,-0.5,123.0,3.4,8.0,L
3.0,11.8,109.0,-2.5,4.2,8.0,190.0,0.9,111.0,0.4,114.0,0.0,1.3,1.3,1.7,-1.9,0.4,1.5,0.08,328.0,2.9,-1.8,82.0,-0.7,2.4,80.0,1.1,-6.1,2.0,-1.9,-18.0,-0.6,4.4,100.0,1.5,0.31,3.8,116.0,2.3,-3.1,-61.0,-2.6,0.8,22.0,0.3,76.0,0.6,2.0,W
0.0,-8.3,-126.0,-1.7,0.4,-8.1,-112.0,-1.3,-86.0,-2.5,-153.0,-6.1,-3.4,-3.4,-2.2,7.9,-0.5,-7.5,-0.08,-330.0,-9.2,6.3,153.0,4.2,7.6,84.0,2.3,5.0,69.0,1.9,31.0,0.8,0.1,-41.0,-1.1,-0.37,2.9,57.0,1.6,5.4,106.0,3.0,0.6,5.0,0.1,-66.0,-1.8,-19.0,L
